"","angry1a","afraid1a","hopeful1a","proud1a","strong1a","knowledge1a","moral1a","inspiring1a","angry1b","afraid1b","hopeful1b","proud1b","strong1b","knowledge1b","moral1b","inspiring1b","angry2a","afraid2a","hopeful2a","proud2a","strong2a","knowledge2a","moral2a","inspiring2a","angry2b","afraid2b","hopeful2b","proud2b","strong2b","knowledge2b","moral2b","inspiring2b","angry3a","afraid3a","hopeful3a","proud3a","strong3a","knowledge3a","moral3a","inspiring3a","angry3b","afraid3b","hopeful3b","proud3b","strong3b","knowledge3b","moral3b","inspiring3b","angry4a","afraid4a","hopeful4a","proud4a","strong4a","knowledge4a","moral4a","inspiring4a","angry4b","afraid4b","hopeful4b","proud4b","strong4b","knowledge4b","moral4b","inspiring4b","angry5a","afraid5a","hopeful5a","proud5a","strong5a","knowledge5a","moral5a","inspiring5a","angry5b","afraid5b","hopeful5b","proud5b","strong5b","knowledge5b","moral5b","inspiring5b","angry6a","afraid6a","hopeful6a","proud6a","strong6a","knowledge6a","moral6a","inspiring6a","angry6b","afraid6b","hopeful6b","proud6b","strong6b","knowledge6b","moral6b","inspiring6b","angry7a","afraid7a","hopeful7a","proud7a","strong7a","knowledge7a","moral7a","inspiring7a","angry7b","afraid7b","hopeful7b","proud7b","strong7b","knowledge7b","moral7b","inspiring7b","angry8a","afraid8a","hopeful8a","proud8a","strong8a","knowledge8a","moral8a","inspiring8a","angry8b","afraid8b","hopeful8b","proud8b","strong8b","knowledge8b","moral8b","inspiring8b","angry9a","afraid9a","hopeful9a","proud9a","strong9a","knowledge9a","moral9a","inspiring9a","angry9b","afraid9b","hopeful9b","proud9b","strong9b","knowledge9b","moral9b","inspiring9b","angry10a","afraid10a","hopeful10a","proud10a","strong10a","knowledge10a","moral10a","inspiring10a","angry10b","afraid10b","hopeful10b","proud10b","strong10b","knowledge10b","moral10b","inspiring10b","rand_1_assignment","rand_2_assignment","rand_3_assignment","rand_4_assignment","rand_5_assignment","rand_6_assignment","rand_7_assignment","rand_8_assignment","rand_9_assignment","rand_10_assignment","ID"
"110","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","1","1","1","3","3","3","2","1","2","2","687770"
"111","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement B","Statement B","Statement A","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement B","Statement A","Statement B","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement A","Statement B","Statement A","Statement B","Statement A","Statement B","","","","","","","","","Statement A","Statement A","Statement A","Statement B","Statement A","Statement A","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement B","Statement A","Statement A","Statement A","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement A","Statement B","Statement A","Statement A","","","","","","","","","2","1","3","3","1","1","1","2","1","1","191981"
"112","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement A","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement B","Statement B","Statement A","Statement B","Statement B","Statement A","","","","","","","","","","","","","","","","","Statement B","Statement A","Statement B","Statement B","Statement A","Statement A","Statement A","Statement B","","","","","","","","","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","2","2","2","1","1","1","1","1","2","2","790122"
"113","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement A","Statement B","Statement A","Statement A","Statement A","Statement B","Statement B","Statement A","Statement B","Statement A","Statement B","Statement A","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","Statement A","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","1","2","3","2","1","2","1","1","3","2","325021"
"114","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement A","Statement B","Statement B","Statement A","Statement B","Statement B","Statement B","Statement A","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","1","3","1","3","1","2","3","2","1","2","643776"
"115","Statement B","Statement A","Statement A","Statement A","Statement B","Statement A","Statement A","Statement A","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement A","Statement A","Statement A","Statement B","Statement A","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement A","Statement B","Statement B","Statement B","","","","","","","","","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement A","Statement A","Statement B","Statement A","Statement A","Statement A","Statement B","Statement A","Statement B","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","1","2","3","1","2","2","2","3","2","3","840192"
"116","","","","","","","","","Statement A","Statement B","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","Statement B","Statement A","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement A","Statement B","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","2","2","1","2","2","2","3","1","1","1","345147"
"117","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","3","3","3","2","2","2","3","2","1","2","628495"
"118","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","3","1","2","2","3","1","1","2","3","3","707983"
"119","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","2","3","2","2","2","2","3","1","2","1","157015"
"120","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement A","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement A","Statement B","Statement A","Statement B","Statement A","Statement B","Statement A","","","","","","","","","","","","","","","","","Statement A","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement B","Statement B","Statement B","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement A","Statement A","Statement B","Statement A","Statement B","Statement A","Statement A","Statement B","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","3","3","2","2","2","2","1","2","3","2","651850"
"121","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement B","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement B","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","3","1","3","2","3","1","1","1","1","3","486896"
"122","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","3","3","2","3","1","2","2","3","3","2","100630"
"123","Statement A","Statement A","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","Statement A","Statement A","","","","","","","","","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","Statement B","Statement A","Statement A","Statement A","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","2","1","1","2","1","3","2","2","3","2","331149"
"124","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","1","2","2","3","1","2","3","3","2","3","615349"
"125","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","Statement A","Statement A","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","2","2","2","3","3","1","3","2","1","1","482356"
"126","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement B","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","Statement A","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement A","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","3","2","1","2","1","2","1","3","1","3","181088"
"127","Statement A","Statement A","Statement B","Statement B","Statement A","Statement A","Statement A","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement A","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement B","Statement A","Statement A","Statement B","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","3","3","3","1","3","1","2","2","3","2","873147"
"128","","","","","","","","","Statement B","Statement A","Statement A","Statement A","Statement B","Statement A","Statement A","Statement B","Statement A","Statement A","Statement B","Statement A","Statement A","Statement A","Statement B","Statement A","","","","","","","","","","","","","","","","","Statement B","Statement A","Statement B","Statement A","Statement B","Statement B","Statement A","Statement B","","","","","","","","","Statement B","Statement A","Statement A","Statement B","Statement A","Statement A","Statement A","Statement B","","","","","","","","","Statement A","Statement B","Statement A","Statement A","Statement B","Statement B","Statement B","Statement A","Statement B","Statement B","Statement A","Statement A","Statement B","Statement A","Statement B","Statement A","","","","","","","","","","","","","","","","","Statement B","Statement B","Statement A","Statement B","Statement A","Statement A","Statement A","Statement B","Statement B","Statement B","Statement A","Statement B","Statement B","Statement A","Statement A","Statement B","","","","","","","","","","","","","","","","","Statement B","Statement B","Statement A","Statement B","Statement B","Statement A","Statement A","Statement B","Statement A","Statement A","Statement B","Statement A","Statement B","Statement A","Statement A","Statement B","","","","","","","","","1","2","1","3","2","2","2","3","1","2","422440"
"129","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement A","Statement B","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","Statement A","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement A","Statement A","Statement B","Statement B","Statement B","","","","","","","","","Statement A","Statement A","Statement B","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement A","Statement B","Statement B","Statement A","Statement A","Statement A","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement A","Statement A","Statement B","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement B","Statement A","Statement B","Statement B","Statement B","Statement A","Statement A","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement A","Statement A","Statement B","Statement B","Statement B","","","","","","","","","Statement A","Statement A","Statement B","Statement A","Statement A","Statement B","Statement B","Statement B","3","1","3","3","2","2","2","2","3","2","771942"
"130","","","","","","","","","Statement A","Statement A","Statement A","Statement B","Statement B","Statement A","Statement B","Statement A","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement B","Statement A","Statement A","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement B","Statement B","Statement A","Statement B","Statement B","Statement B","Statement A","Statement B","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","3","1","1","1","1","2","3","2","2","2","915470"
"131","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement B","Statement B","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement A","Statement B","Statement A","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement A","Statement B","Statement B","Statement B","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement B","Statement A","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","2","3","3","1","1","1","2","1","2","1","466694"
"132","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","3","2","3","3","1","2","3","2","1","1","695418"
"133","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement B","Statement B","Statement A","Statement A","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","1","2","3","2","2","3","3","1","2","3","259567"
"134","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","Statement A","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement B","Statement B","Statement B","Statement B","Statement B","Statement B","","","","","","","","","Statement A","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","","","","","","","","","","","","","","","","","Statement A","Statement A","Statement B","Statement B","Statement B","Statement A","Statement B","Statement B","Statement B","Statement A","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","","","","","","","","","","","","","","","","","Statement B","Statement B","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement A","Statement B","Statement B","Statement B","Statement A","Statement B","Statement B","","","","","","","","","2","2","1","1","1","3","1","1","2","1","999835"
